District,Month,MonthName,TotalPrecipitation,MeanTemperature,RecordCount,Summary
Ampara,1,January,3976.0,24.82,465,Ampara had a total precipitation of 3976.00 hours with a mean temperature of 24.82°C for 1st month
Ampara,10,October,3466.0,27.04,434,Ampara had a total precipitation of 3466.00 hours with a mean temperature of 27.04°C for 10th month
Ampara,11,November,4752.0,25.71,420,Ampara had a total precipitation of 4752.00 hours with a mean temperature of 25.71°C for 11th month
Ampara,12,December,5144.0,25.11,434,Ampara had a total precipitation of 5144.00 hours with a mean temperature of 25.11°C for 12th month
Ampara,2,February,3268.0,25.36,424,Ampara had a total precipitation of 3268.00 hours with a mean temperature of 25.36°C for 2nd month
Ampara,3,March,2435.0,26.57,465,Ampara had a total precipitation of 2435.00 hours with a mean temperature of 26.57°C for 3rd month
Ampara,4,April,2225.0,27.75,450,Ampara had a total precipitation of 2225.00 hours with a mean temperature of 27.75°C for 4th month
Ampara,5,May,1775.0,28.56,465,Ampara had a total precipitation of 1775.00 hours with a mean temperature of 28.56°C for 5th month
Ampara,6,June,877.0,29.28,428,Ampara had a total precipitation of 877.00 hours with a mean temperature of 29.28°C for 6th month
Ampara,7,July,896.0,29.38,434,Ampara had a total precipitation of 896.00 hours with a mean temperature of 29.38°C for 7th month
Ampara,8,August,1139.0,29.09,434,Ampara had a total precipitation of 1139.00 hours with a mean temperature of 29.09°C for 8th month
Ampara,9,September,1555.0,28.37,420,Ampara had a total precipitation of 1555.00 hours with a mean temperature of 28.37°C for 9th month
Anuradhapura,1,January,2022.0,24.57,465,Anuradhapura had a total precipitation of 2022.00 hours with a mean temperature of 24.57°C for 1st month
Anuradhapura,10,October,3488.0,26.37,434,Anuradhapura had a total precipitation of 3488.00 hours with a mean temperature of 26.37°C for 10th month
Anuradhapura,11,November,3995.0,25.34,420,Anuradhapura had a total precipitation of 3995.00 hours with a mean temperature of 25.34°C for 11th month
Anuradhapura,12,December,3414.0,24.84,434,Anuradhapura had a total precipitation of 3414.00 hours with a mean temperature of 24.84°C for 12th month
Anuradhapura,2,February,1348.0,25.52,424,Anuradhapura had a total precipitation of 1348.00 hours with a mean temperature of 25.52°C for 2nd month
Anuradhapura,3,March,1125.0,27.41,465,Anuradhapura had a total precipitation of 1125.00 hours with a mean temperature of 27.41°C for 3rd month
Anuradhapura,4,April,1941.0,28.14,450,Anuradhapura had a total precipitation of 1941.00 hours with a mean temperature of 28.14°C for 4th month
Anuradhapura,5,May,2276.0,27.76,465,Anuradhapura had a total precipitation of 2276.00 hours with a mean temperature of 27.76°C for 5th month
Anuradhapura,6,June,1562.0,27.73,428,Anuradhapura had a total precipitation of 1562.00 hours with a mean temperature of 27.73°C for 6th month
Anuradhapura,7,July,1278.0,27.81,434,Anuradhapura had a total precipitation of 1278.00 hours with a mean temperature of 27.81°C for 7th month
Anuradhapura,8,August,1538.0,27.58,434,Anuradhapura had a total precipitation of 1538.00 hours with a mean temperature of 27.58°C for 8th month
Anuradhapura,9,September,2046.0,27.21,420,Anuradhapura had a total precipitation of 2046.00 hours with a mean temperature of 27.21°C for 9th month
Badulla,1,January,4010.0,20.94,465,Badulla had a total precipitation of 4010.00 hours with a mean temperature of 20.94°C for 1st month
Badulla,10,October,3517.0,23.42,434,Badulla had a total precipitation of 3517.00 hours with a mean temperature of 23.42°C for 10th month
Badulla,11,November,4561.0,22.14,420,Badulla had a total precipitation of 4561.00 hours with a mean temperature of 22.14°C for 11th month
Badulla,12,December,4781.0,21.5,434,Badulla had a total precipitation of 4781.00 hours with a mean temperature of 21.50°C for 12th month
Badulla,2,February,3286.0,21.55,424,Badulla had a total precipitation of 3286.00 hours with a mean temperature of 21.55°C for 2nd month
Badulla,3,March,2416.0,22.8,465,Badulla had a total precipitation of 2416.00 hours with a mean temperature of 22.80°C for 3rd month
Badulla,4,April,2684.0,23.8,450,Badulla had a total precipitation of 2684.00 hours with a mean temperature of 23.80°C for 4th month
Badulla,5,May,2511.0,24.69,465,Badulla had a total precipitation of 2511.00 hours with a mean temperature of 24.69°C for 5th month
Badulla,6,June,1386.0,25.07,428,Badulla had a total precipitation of 1386.00 hours with a mean temperature of 25.07°C for 6th month
Badulla,7,July,1346.0,25.17,434,Badulla had a total precipitation of 1346.00 hours with a mean temperature of 25.17°C for 7th month
Badulla,8,August,1586.0,24.97,434,Badulla had a total precipitation of 1586.00 hours with a mean temperature of 24.97°C for 8th month
Badulla,9,September,2052.0,24.39,420,Badulla had a total precipitation of 2052.00 hours with a mean temperature of 24.39°C for 9th month
Bandarawela,1,January,2926.0,18.88,465,Bandarawela had a total precipitation of 2926.00 hours with a mean temperature of 18.88°C for 1st month
Bandarawela,10,October,4390.0,20.45,434,Bandarawela had a total precipitation of 4390.00 hours with a mean temperature of 20.45°C for 10th month
Bandarawela,11,November,4544.0,19.68,420,Bandarawela had a total precipitation of 4544.00 hours with a mean temperature of 19.68°C for 11th month
Bandarawela,12,December,4224.0,19.27,434,Bandarawela had a total precipitation of 4224.00 hours with a mean temperature of 19.27°C for 12th month
Bandarawela,2,February,2370.0,19.42,424,Bandarawela had a total precipitation of 2370.00 hours with a mean temperature of 19.42°C for 2nd month
Bandarawela,3,March,2199.0,20.4,465,Bandarawela had a total precipitation of 2199.00 hours with a mean temperature of 20.40°C for 3rd month
Bandarawela,4,April,3083.0,20.92,450,Bandarawela had a total precipitation of 3083.00 hours with a mean temperature of 20.92°C for 4th month
Bandarawela,5,May,3722.0,21.5,465,Bandarawela had a total precipitation of 3722.00 hours with a mean temperature of 21.50°C for 5th month
Bandarawela,6,June,3265.0,21.7,428,Bandarawela had a total precipitation of 3265.00 hours with a mean temperature of 21.70°C for 6th month
Bandarawela,7,July,3162.0,21.7,434,Bandarawela had a total precipitation of 3162.00 hours with a mean temperature of 21.70°C for 7th month
Bandarawela,8,August,3351.0,21.44,434,Bandarawela had a total precipitation of 3351.00 hours with a mean temperature of 21.44°C for 8th month
Bandarawela,9,September,3541.0,21.02,420,Bandarawela had a total precipitation of 3541.00 hours with a mean temperature of 21.02°C for 9th month
Batticaloa,1,January,4567.0,25.42,465,Batticaloa had a total precipitation of 4567.00 hours with a mean temperature of 25.42°C for 1st month
Batticaloa,10,October,3631.0,27.21,434,Batticaloa had a total precipitation of 3631.00 hours with a mean temperature of 27.21°C for 10th month
Batticaloa,11,November,5308.0,26.05,420,Batticaloa had a total precipitation of 5308.00 hours with a mean temperature of 26.05°C for 11th month
Batticaloa,12,December,5741.0,25.58,434,Batticaloa had a total precipitation of 5741.00 hours with a mean temperature of 25.58°C for 12th month
Batticaloa,2,February,3566.0,25.97,424,Batticaloa had a total precipitation of 3566.00 hours with a mean temperature of 25.97°C for 2nd month
Batticaloa,3,March,2443.0,27.11,465,Batticaloa had a total precipitation of 2443.00 hours with a mean temperature of 27.11°C for 3rd month
Batticaloa,4,April,2020.0,28.31,450,Batticaloa had a total precipitation of 2020.00 hours with a mean temperature of 28.31°C for 4th month
Batticaloa,5,May,1772.0,28.95,465,Batticaloa had a total precipitation of 1772.00 hours with a mean temperature of 28.95°C for 5th month
Batticaloa,6,June,863.0,29.74,428,Batticaloa had a total precipitation of 863.00 hours with a mean temperature of 29.74°C for 6th month
