Year,Month,MonthName,TotalPrecipitation
2010,1,January,3207.0
2010,10,October,6931.0
2010,11,November,10035.0
2010,12,December,10620.0
2010,2,February,1355.0
2010,3,March,2313.0
2010,4,April,5224.0
2010,5,May,6751.0
2010,6,June,7115.0
2010,7,July,5843.0
2010,8,August,6371.0
2010,9,September,6990.0
2011,1,January,8468.0
2011,10,October,8063.0
2011,11,November,7886.0
2011,12,December,6646.0
2011,2,February,5558.0
2011,3,March,3917.0
2011,4,April,6444.0
2011,5,May,5090.0
2011,6,June,4779.0
2011,7,July,6150.0
2011,8,August,6400.0
2011,9,September,5201.0
2012,1,January,2413.0
2012,10,October,9516.0
2012,11,November,6814.0
2012,12,December,7345.0
2012,2,February,3240.0
2012,3,March,2704.0
2012,4,April,5355.0
2012,5,May,3011.0
2012,6,June,5491.0
2012,7,July,5009.0
2012,8,August,5878.0
2012,9,September,5528.0
2013,1,January,3981.0
2013,10,October,6678.0
2013,11,November,6114.0
2013,12,December,5861.0
2013,2,February,4037.0
2013,3,March,4616.0
2013,4,April,3844.0
2013,5,May,5940.0
2013,6,June,8092.0
2013,7,July,5824.0
2013,8,August,5050.0
2013,9,September,6430.0
2014,1,January,4979.0
2014,10,October,9387.0
2014,11,November,9048.0
2014,12,December,10791.0
2014,2,February,1597.0
2014,3,March,1709.0
2014,4,April,4298.0
2014,5,May,5714.0
2014,6,June,5245.0
2014,7,July,5533.0
2014,8,August,6299.0
2014,9,September,6693.0
2015,1,January,2313.0
2015,10,October,9754.0
2015,11,November,9788.0
2015,12,December,8269.0
2015,2,February,3877.0
2015,3,March,3184.0
2015,4,April,5700.0
2015,5,May,6549.0
2015,6,June,5383.0
2015,7,July,5299.0
2015,8,August,5610.0
2015,9,September,7036.0
2016,1,January,2382.0
2016,10,October,4825.0
2016,11,November,7474.0
2016,12,December,3895.0
2016,2,February,2465.0
2016,3,March,2079.0
2016,4,April,3339.0
2016,5,May,8693.0
2016,6,June,6112.0
2016,7,July,5100.0
2016,8,August,4973.0
2016,9,September,4472.0
2017,1,January,4573.0
2017,10,October,8459.0
2017,11,November,9330.0
2017,12,December,5305.0
2017,2,February,2775.0
2017,3,March,4707.0
2017,4,April,3789.0
2017,5,May,6451.0
2017,6,June,6668.0
2017,7,July,6108.0
2017,8,August,7220.0
2017,9,September,6962.0
2018,1,January,2696.0
2018,10,October,11007.0
2018,11,November,9772.0
2018,12,December,5715.0
2018,2,February,3457.0
2018,3,March,4646.0
2018,4,April,5013.0
2018,5,May,7980.0
2018,6,June,8077.0
2018,7,July,6232.0
2018,8,August,6045.0
2018,9,September,5619.0
2019,1,January,3344.0
2019,10,October,10960.0
2019,11,November,8949.0
2019,12,December,8940.0
2019,2,February,5501.0
2019,3,March,2696.0
2019,4,April,4726.0
2019,5,May,5450.0
2019,6,June,6480.0
2019,7,July,5608.0
2019,8,August,8628.0
2019,9,September,8657.0
2020,1,January,3977.0
2020,10,October,6493.0
2020,11,November,9322.0
2020,12,December,9440.0
2020,2,February,3131.0
2020,3,March,2335.0
2020,4,April,5332.0
2020,5,May,7492.0
2020,6,June,6347.0
2020,7,July,6793.0
2020,8,August,5694.0
2020,9,September,8682.0
2021,1,January,8428.0
2021,10,October,8971.0
2021,11,November,10983.0
2021,12,December,5360.0
2021,2,February,3625.0
2021,3,March,4491.0
2021,4,April,5581.0
2021,5,May,8477.0
2021,6,June,6823.0
2021,7,July,7067.0
2021,8,August,7570.0
2021,9,September,7736.0
2022,1,January,4834.0
2022,10,October,8974.0
2022,11,November,6751.0
2022,12,December,7083.0
2022,2,February,3314.0
2022,3,March,4011.0
2022,4,April,6495.0
2022,5,May,7949.0
2022,6,June,6339.0
2022,7,July,5449.0
2022,8,August,7416.0
2022,9,September,5757.0
2023,1,January,4614.0
2023,10,October,9522.0
2023,11,November,10514.0
2023,12,December,10210.0
2023,2,February,4450.0
2023,3,March,4670.0
2023,4,April,4175.0
2023,5,May,6202.0
2023,6,June,6308.0
2023,7,July,5631.0
2023,8,August,4544.0
2023,9,September,8324.0
2024,1,January,6038.0
2024,2,February,2930.0
2024,3,March,2409.0
2024,4,April,4116.0
2024,5,May,8840.0
2024,6,June,2156.0
