district,year,month,total_radiation,radiation_above_threshold,percentage_above_threshold,record_count
Ampara,2010,1,516.5899999999999,427.78,82.80841673280553,31
Ampara,2010,2,537.8000000000001,457.18,85.00929713648195,28
Ampara,2010,3,713.6899999999999,713.6899999999999,100.0,31
Ampara,2010,4,636.9,610.38,95.83608101742817,30
Ampara,2010,5,624.1999999999999,589.57,94.45209868631851,31
Ampara,2010,6,615.9099999999999,588.6299999999999,95.57078144534104,30
Ampara,2010,7,650.7500000000001,621.5700000000002,95.51594314252786,31
Ampara,2010,8,623.9499999999999,601.43,96.39073643721451,31
Ampara,2010,9,583.1000000000001,497.03000000000003,85.23923855256386,30
Ampara,2010,10,623.6500000000001,575.5300000000001,92.28413372885433,31
Ampara,2010,11,465.48,326.33000000000004,70.10612700867922,30
Ampara,2010,12,367.35,198.64000000000001,54.07377160745883,31
Ampara,2011,1,388.9599999999999,218.56,56.19086795557385,31
Ampara,2011,2,423.3999999999999,329.13,77.7350023618328,28
Ampara,2011,3,641.2800000000001,615.36,95.95808383233532,31
Ampara,2011,4,634.8399999999999,608.79,95.89660386869133,30
Ampara,2011,5,704.73,704.73,100.0,31
Ampara,2011,6,663.7300000000001,663.7300000000001,100.0,30
Ampara,2011,7,639.65,639.65,100.0,31
Ampara,2011,8,650.4500000000002,636.5300000000001,97.85994311630408,31
Ampara,2011,9,663.24,663.24,100.0,30
Ampara,2011,10,569.2099999999999,490.74000000000007,86.21422673529983,31
Ampara,2011,11,478.31000000000006,364.07000000000005,76.1159080930777,30
Ampara,2011,12,437.96,307.75,70.26897433555577,31
Ampara,2012,1,544.55,489.04999999999995,89.80809842989625,31
Ampara,2012,2,526.1099999999999,478.7399999999999,90.99617950618692,29
Ampara,2012,3,730.6799999999998,730.6799999999998,100.0,31
Ampara,2012,4,613.59,599.96,97.77864697925325,30
Ampara,2012,5,744.95,744.95,100.0,31
Ampara,2012,6,644.0100000000001,644.0100000000001,100.0,30
Ampara,2012,7,671.78,657.7099999999999,97.90556432165292,31
Ampara,2012,8,660.98,660.98,100.0,31
Ampara,2012,9,647.7400000000001,647.7400000000001,100.0,30
Ampara,2012,10,548.57,446.6800000000001,81.42625371420239,31
Ampara,2012,11,477.34000000000015,375.68,78.7028114132484,30
Ampara,2012,12,415.99,236.85999999999999,56.938868722805836,31
Ampara,2013,1,444.63,302.15,67.95537862942221,31
Ampara,2013,2,495.58000000000004,403.14000000000004,81.3471084385972,28
Ampara,2013,3,615.7599999999999,597.5899999999999,97.04917500324802,31
Ampara,2013,4,686.9499999999999,686.9499999999999,100.0,30
Ampara,2013,5,653.05,639.5699999999999,97.93583952224179,31
Ampara,2013,6,578.85,517.94,89.47741211021855,30
Ampara,2013,7,634.19,622.64,98.17877923019914,31
Ampara,2013,8,684.3900000000001,670.8700000000001,98.02451818407634,31
Ampara,2013,9,617.4,604.28,97.87495950761257,30
Ampara,2013,10,634.3199999999999,584.73,92.18217934165722,31
Ampara,2013,11,531.7499999999999,496.9199999999999,93.44992947813823,30
Ampara,2013,12,399.4200000000001,233.67000000000002,58.50232837614541,31
Ampara,2014,1,461.91,350.29,75.83511939555325,31
Ampara,2014,2,555.84,541.35,97.39313471502591,28
Ampara,2014,3,659.6199999999999,633.41,96.02650010612172,31
Ampara,2014,4,675.65,650.55,96.28505883223562,30
Ampara,2014,5,649.26,625.03,96.26805902103933,31
Ampara,2014,6,662.7100000000002,650.9800000000001,98.22999502044635,30
Ampara,2014,7,671.5200000000001,671.5200000000001,100.0,31
Ampara,2014,8,650.51,650.51,100.0,31
Ampara,2014,9,665.9399999999999,665.9399999999999,100.0,30
Ampara,2014,10,574.36,524.88,91.38519395501079,31
Ampara,2014,11,440.11999999999983,323.72999999999996,73.55493956193767,30
Ampara,2014,12,350.44,175.01,49.940075333866,31
Ampara,2015,1,559.0699999999999,504.7,90.27492085069849,31
Ampara,2015,2,499.34999999999997,450.09,90.13517572844698,28
Ampara,2015,3,669.6600000000002,650.7900000000001,97.18215213690527,31
Ampara,2015,4,636.4400000000002,622.7500000000001,97.8489724090252,30
Ampara,2015,5,644.5099999999999,644.5099999999999,100.0,31
Ampara,2015,6,647.0900000000001,647.0900000000001,100.0,30
Ampara,2015,7,677.7499999999999,649.7099999999998,95.86278126152709,31
Ampara,2015,8,697.3600000000001,697.3600000000001,100.0,31
Ampara,2015,9,629.9000000000001,615.99,97.79171297031274,30
Ampara,2015,10,520.91,445.29,85.48309688813808,31
Ampara,2015,11,440.36,280.30999999999995,63.65473703333635,30
Ampara,2015,12,439.2300000000001,259.09,58.98731871684537,31
Ampara,2016,1,536.7600000000001,488.92999999999995,91.08912735673297,31
Ampara,2016,2,554.0299999999999,513.26,92.64119271519596,29
Ampara,2016,3,706.1299999999998,706.1299999999998,100.0,31
Ampara,2016,4,685.1199999999998,685.1199999999998,100.0,30
Ampara,2016,5,575.3300000000002,520.23,90.42288773399612,31
Ampara,2016,6,617.6300000000002,607.4500000000002,98.35176400110097,30
Ampara,2016,7,645.3499999999999,617.6399999999999,95.70620593476407,31
Ampara,2016,8,691.0199999999999,677.9999999999999,98.11582877485456,31
Ampara,2016,9,666.02,652.32,97.94300471457315,30
Ampara,2016,10,656.8500000000001,656.8500000000001,100.0,31
Ampara,2016,11,460.5300000000001,373.94000000000005,81.19775041799664,30
Ampara,2016,12,544.4300000000001,481.25,88.39520232169424,31
Ampara,2017,1,497.43000000000006,373.46000000000004,75.07790040809762,31
Ampara,2017,2,515.7,432.0900000000001,83.78708551483422,28
Ampara,2017,3,658.9099999999997,638.8299999999998,96.95254283589566,31
Ampara,2017,4,707.7099999999998,694.3299999999999,98.10939509120969,30
Ampara,2017,5,658.69,633.07,96.11046167392855,31
Ampara,2017,6,621.0600000000001,606.4300000000001,97.64434998228835,30
Ampara,2017,7,636.9399999999999,636.9399999999999,100.0,31
Ampara,2017,8,626.44,603.65,96.36198199348699,31
Ampara,2017,9,602.26,582.86,96.77879985388371,30
Ampara,2017,10,563.0400000000001,543.2900000000001,96.49225632281897,31
Ampara,2017,11,398.65000000000003,188.37,47.25197541703248,30
Ampara,2017,12,458.41999999999996,281.68,61.44583569652284,31
Ampara,2018,1,501.36999999999995,392.3599999999999,78.2575742465644,31
Ampara,2018,2,482.14,417.03,86.49562367776994,28
Ampara,2018,3,578.0700000000002,523.04,90.48039164807027,31
Ampara,2018,4,604.1100000000001,591.4100000000001,97.89773385641686,30
Ampara,2018,5,571.9900000000001,521.32,91.14145352191471,31
Ampara,2018,6,629.5199999999999,629.5199999999999,100.0,30
Ampara,2018,7,649.4800000000001,649.4800000000001,100.0,31
Ampara,2018,8,639.5799999999999,631.2499999999999,98.69758278870509,31
Ampara,2018,9,653.8199999999998,653.8199999999998,100.0,30
Ampara,2018,10,520.9499999999999,421.78000000000003,80.96362414819083,31
Ampara,2018,11,463.25000000000006,314.90999999999997,67.97841338370209,30
Ampara,2018,12,468.04999999999995,317.48,67.83036000427306,31
Ampara,2019,1,526.34,428.11,81.33715849070943,31
Ampara,2019,2,502.87000000000006,436.24999999999994,86.75204327162088,28
Ampara,2019,3,715.9000000000002,715.9000000000002,100.0,31
Ampara,2019,4,644.1199999999999,616.4199999999998,95.69955908836863,30
Ampara,2019,5,678.64,678.64,100.0,31
Ampara,2019,6,627.4899999999999,627.4899999999999,100.0,30
Ampara,2019,7,661.48,647.08,97.82306343351273,31
Ampara,2019,8,592.76,549.63,92.72386800728795,31
Ampara,2019,9,586.7299999999999,549.34,93.62739249740088,30
Ampara,2019,10,491.23999999999995,383.79999999999995,78.12881687159026,31
Ampara,2019,11,497.90999999999997,367.7199999999999,73.85270430399066,30
Ampara,2019,12,439.1099999999999,226.17000000000002,51.506456241033014,31
Ampara,2020,1,564.1100000000001,510.98,90.58162415131798,31
Ampara,2020,2,560.37,533.53,95.21030747541802,29
Ampara,2020,3,682.81,682.81,100.0,31
Ampara,2020,4,651.1899999999998,651.1899999999998,100.0,30
Ampara,2020,5,592.88,553.76,93.40170017541493,31
Ampara,2020,6,607.76,583.1099999999999,95.94412268000525,30
Ampara,2020,7,576.5400000000001,529.93,91.91556526867171,31
Ampara,2020,8,657.8899999999999,620.0999999999999,94.25587864232622,31
Ampara,2020,9,559.45,481.3599999999999,86.04164804718918,30
Ampara,2020,10,664.9700000000003,650.7400000000001,97.86005383701519,31
Ampara,2020,11,478.2399999999999,360.9699999999999,75.47883907661425,30
Ampara,2020,12,451.27000000000004,349.43,77.43257916546634,31
Ampara,2021,1,438.77,249.78000000000003,56.92731955238508,31
Ampara,2021,2,518.03,470.43,90.81134297241474,28
Ampara,2021,3,573.3199999999999,489.47,85.37465987581108,31
Ampara,2021,4,663.46,663.46,100.0,30
Ampara,2021,5,599.25,570.52,95.20567375886525,31
Ampara,2021,6,627.0300000000001,602.5600000000001,96.09747539990113,30
Ampara,2021,7,636.6200000000001,623.9200000000001,98.00508937827902,31
Ampara,2021,8,611.83,585.24,95.65402154193158,31
Ampara,2021,9,611.0199999999999,572.2299999999999,93.65159896566398,30
Ampara,2021,10,571.85,501.64,87.72230480020984,31
Ampara,2021,11,456.35999999999996,276.83,60.660443509510046,30
Ampara,2021,12,542.08,462.85999999999996,85.38592089728452,31
Ampara,2022,1,564.1999999999999,477.69,84.66678482807517,31
Ampara,2022,2,571.37,553.66,96.90043229431015,28
Ampara,2022,3,641.34,585.59,91.30726291826488,31
Ampara,2022,4,636.15,636.15,100.0,30
Ampara,2022,5,653.9099999999999,639.2399999999999,97.75657200532184,31
Ampara,2022,6,602.7399999999999,577.17,95.7577064737698,30
Ampara,2022,7,583.4699999999999,506.5299999999999,86.81337515210721,31
Ampara,2022,8,646.7600000000002,620.3300000000002,95.91347640546725,31
Ampara,2022,9,669.7299999999999,659.9499999999999,98.53971003240112,30
