district,year,month,month_name,total_radiation_MJ_m2,radiation_above_15MJ_m2,percentage_above_15MJ,days_in_month
Ampara,2010,1,January,516.59,427.78,82.81,31
Ampara,2010,2,February,537.8,457.18,85.01,28
Ampara,2010,3,March,713.69,713.69,100.0,31
Ampara,2010,4,April,636.9,610.38,95.84,30
Ampara,2010,5,May,624.2,589.57,94.45,31
Ampara,2010,6,June,615.91,588.63,95.57,30
Ampara,2010,7,July,650.75,621.57,95.52,31
Ampara,2010,8,August,623.95,601.43,96.39,31
Ampara,2010,9,September,583.1,497.03,85.24,30
Ampara,2010,10,October,623.65,575.53,92.28,31
Ampara,2010,11,November,465.48,326.33,70.11,30
Ampara,2010,12,December,367.35,198.64,54.07,31
Ampara,2011,1,January,388.96,218.56,56.19,31
Ampara,2011,2,February,423.4,329.13,77.74,28
Ampara,2011,3,March,641.28,615.36,95.96,31
Ampara,2011,4,April,634.84,608.79,95.9,30
Ampara,2011,5,May,704.73,704.73,100.0,31
Ampara,2011,6,June,663.73,663.73,100.0,30
Ampara,2011,7,July,639.65,639.65,100.0,31
Ampara,2011,8,August,650.45,636.53,97.86,31
Ampara,2011,9,September,663.24,663.24,100.0,30
Ampara,2011,10,October,569.21,490.74,86.21,31
Ampara,2011,11,November,478.31,364.07,76.12,30
Ampara,2011,12,December,437.96,307.75,70.27,31
Ampara,2012,1,January,544.55,489.05,89.81,31
Ampara,2012,2,February,526.11,478.74,91.0,29
Ampara,2012,3,March,730.68,730.68,100.0,31
Ampara,2012,4,April,613.59,599.96,97.78,30
Ampara,2012,5,May,744.95,744.95,100.0,31
Ampara,2012,6,June,644.01,644.01,100.0,30
Ampara,2012,7,July,671.78,657.71,97.91,31
Ampara,2012,8,August,660.98,660.98,100.0,31
Ampara,2012,9,September,647.74,647.74,100.0,30
Ampara,2012,10,October,548.57,446.68,81.43,31
Ampara,2012,11,November,477.34,375.68,78.7,30
Ampara,2012,12,December,415.99,236.86,56.94,31
Ampara,2013,1,January,444.63,302.15,67.96,31
Ampara,2013,2,February,495.58,403.14,81.35,28
Ampara,2013,3,March,615.76,597.59,97.05,31
Ampara,2013,4,April,686.95,686.95,100.0,30
Ampara,2013,5,May,653.05,639.57,97.94,31
Ampara,2013,6,June,578.85,517.94,89.48,30
Ampara,2013,7,July,634.19,622.64,98.18,31
Ampara,2013,8,August,684.39,670.87,98.02,31
Ampara,2013,9,September,617.4,604.28,97.87,30
Ampara,2013,10,October,634.32,584.73,92.18,31
Ampara,2013,11,November,531.75,496.92,93.45,30
Ampara,2013,12,December,399.42,233.67,58.5,31
Ampara,2014,1,January,461.91,350.29,75.84,31
Ampara,2014,2,February,555.84,541.35,97.39,28
Ampara,2014,3,March,659.62,633.41,96.03,31
Ampara,2014,4,April,675.65,650.55,96.29,30
Ampara,2014,5,May,649.26,625.03,96.27,31
Ampara,2014,6,June,662.71,650.98,98.23,30
Ampara,2014,7,July,671.52,671.52,100.0,31
Ampara,2014,8,August,650.51,650.51,100.0,31
Ampara,2014,9,September,665.94,665.94,100.0,30
Ampara,2014,10,October,574.36,524.88,91.39,31
Ampara,2014,11,November,440.12,323.73,73.55,30
Ampara,2014,12,December,350.44,175.01,49.94,31
Ampara,2015,1,January,559.07,504.7,90.27,31
Ampara,2015,2,February,499.35,450.09,90.14,28
Ampara,2015,3,March,669.66,650.79,97.18,31
Ampara,2015,4,April,636.44,622.75,97.85,30
Ampara,2015,5,May,644.51,644.51,100.0,31
Ampara,2015,6,June,647.09,647.09,100.0,30
Ampara,2015,7,July,677.75,649.71,95.86,31
Ampara,2015,8,August,697.36,697.36,100.0,31
Ampara,2015,9,September,629.9,615.99,97.79,30
Ampara,2015,10,October,520.91,445.29,85.48,31
Ampara,2015,11,November,440.36,280.31,63.65,30
Ampara,2015,12,December,439.23,259.09,58.99,31
Ampara,2016,1,January,536.76,488.93,91.09,31
Ampara,2016,2,February,554.03,513.26,92.64,29
Ampara,2016,3,March,706.13,706.13,100.0,31
Ampara,2016,4,April,685.12,685.12,100.0,30
Ampara,2016,5,May,575.33,520.23,90.42,31
Ampara,2016,6,June,617.63,607.45,98.35,30
Ampara,2016,7,July,645.35,617.64,95.71,31
Ampara,2016,8,August,691.02,678.0,98.12,31
Ampara,2016,9,September,666.02,652.32,97.94,30
Ampara,2016,10,October,656.85,656.85,100.0,31
Ampara,2016,11,November,460.53,373.94,81.2,30
Ampara,2016,12,December,544.43,481.25,88.4,31
Ampara,2017,1,January,497.43,373.46,75.08,31
Ampara,2017,2,February,515.7,432.09,83.79,28
Ampara,2017,3,March,658.91,638.83,96.95,31
Ampara,2017,4,April,707.71,694.33,98.11,30
Ampara,2017,5,May,658.69,633.07,96.11,31
Ampara,2017,6,June,621.06,606.43,97.64,30
Ampara,2017,7,July,636.94,636.94,100.0,31
Ampara,2017,8,August,626.44,603.65,96.36,31
Ampara,2017,9,September,602.26,582.86,96.78,30
Ampara,2017,10,October,563.04,543.29,96.49,31
Ampara,2017,11,November,398.65,188.37,47.25,30
Ampara,2017,12,December,458.42,281.68,61.45,31
Ampara,2018,1,January,501.37,392.36,78.26,31
Ampara,2018,2,February,482.14,417.03,86.5,28
Ampara,2018,3,March,578.07,523.04,90.48,31
Ampara,2018,4,April,604.11,591.41,97.9,30
Ampara,2018,5,May,571.99,521.32,91.14,31
Ampara,2018,6,June,629.52,629.52,100.0,30
Ampara,2018,7,July,649.48,649.48,100.0,31
Ampara,2018,8,August,639.58,631.25,98.7,31
Ampara,2018,9,September,653.82,653.82,100.0,30
Ampara,2018,10,October,520.95,421.78,80.96,31
Ampara,2018,11,November,463.25,314.91,67.98,30
Ampara,2018,12,December,468.05,317.48,67.83,31
Ampara,2019,1,January,526.34,428.11,81.34,31
Ampara,2019,2,February,502.87,436.25,86.75,28
Ampara,2019,3,March,715.9,715.9,100.0,31
Ampara,2019,4,April,644.12,616.42,95.7,30
Ampara,2019,5,May,678.64,678.64,100.0,31
Ampara,2019,6,June,627.49,627.49,100.0,30
Ampara,2019,7,July,661.48,647.08,97.82,31
Ampara,2019,8,August,592.76,549.63,92.72,31
Ampara,2019,9,September,586.73,549.34,93.63,30
Ampara,2019,10,October,491.24,383.8,78.13,31
Ampara,2019,11,November,497.91,367.72,73.85,30
Ampara,2019,12,December,439.11,226.17,51.51,31
Ampara,2020,1,January,564.11,510.98,90.58,31
Ampara,2020,2,February,560.37,533.53,95.21,29
Ampara,2020,3,March,682.81,682.81,100.0,31
Ampara,2020,4,April,651.19,651.19,100.0,30
Ampara,2020,5,May,592.88,553.76,93.4,31
Ampara,2020,6,June,607.76,583.11,95.94,30
Ampara,2020,7,July,576.54,529.93,91.92,31
Ampara,2020,8,August,657.89,620.1,94.26,31
Ampara,2020,9,September,559.45,481.36,86.04,30
Ampara,2020,10,October,664.97,650.74,97.86,31
Ampara,2020,11,November,478.24,360.97,75.48,30
Ampara,2020,12,December,451.27,349.43,77.43,31
Ampara,2021,1,January,438.77,249.78,56.93,31
Ampara,2021,2,February,518.03,470.43,90.81,28
Ampara,2021,3,March,573.32,489.47,85.37,31
Ampara,2021,4,April,663.46,663.46,100.0,30
Ampara,2021,5,May,599.25,570.52,95.21,31
Ampara,2021,6,June,627.03,602.56,96.1,30
Ampara,2021,7,July,636.62,623.92,98.01,31
Ampara,2021,8,August,611.83,585.24,95.65,31
Ampara,2021,9,September,611.02,572.23,93.65,30
Ampara,2021,10,October,571.85,501.64,87.72,31
Ampara,2021,11,November,456.36,276.83,60.66,30
Ampara,2021,12,December,542.08,462.86,85.39,31
Ampara,2022,1,January,564.2,477.69,84.67,31
Ampara,2022,2,February,571.37,553.66,96.9,28
Ampara,2022,3,March,641.34,585.59,91.31,31
Ampara,2022,4,April,636.15,636.15,100.0,30
Ampara,2022,5,May,653.91,639.24,97.76,31
