district,year,month,hottest_month_name,week_of_year,weekly_max_temperature_C,days_in_week
Ampara,2010,3,March,9,30.8,4
Ampara,2010,3,March,10,32.1,7
Ampara,2010,3,March,11,31.3,7
Ampara,2010,3,March,12,32.3,7
Ampara,2010,3,March,13,32.6,6
Ampara,2011,6,June,22,32.6,3
Ampara,2011,6,June,23,33.7,7
Ampara,2011,6,June,24,34.7,7
Ampara,2011,6,June,25,35.2,7
Ampara,2011,6,June,26,35.1,6
Ampara,2012,5,May,18,33.3,5
Ampara,2012,5,May,19,34.2,7
Ampara,2012,5,May,20,34.2,7
Ampara,2012,5,May,21,36.2,7
Ampara,2012,5,May,22,36.4,5
Ampara,2013,4,April,13,31.2,1
Ampara,2013,4,April,14,33.3,7
Ampara,2013,4,April,15,32.8,7
Ampara,2013,4,April,16,33.6,7
Ampara,2013,4,April,17,32.8,7
Ampara,2013,4,April,18,31.8,1
Ampara,2014,4,April,13,32.4,1
Ampara,2014,4,April,14,32.1,7
Ampara,2014,4,April,15,32.9,7
Ampara,2014,4,April,16,32.3,7
Ampara,2014,4,April,17,33.5,7
Ampara,2014,4,April,18,31.4,1
Ampara,2015,7,July,26,32.7,1
Ampara,2015,7,July,27,34.9,7
Ampara,2015,7,July,28,34.9,7
Ampara,2015,7,July,29,35.1,7
Ampara,2015,7,July,30,34.2,7
Ampara,2015,7,July,31,33.9,2
Ampara,2016,4,April,14,33.3,7
Ampara,2016,4,April,15,33.7,7
Ampara,2016,4,April,16,32.9,7
Ampara,2016,4,April,17,35.3,7
Ampara,2016,4,April,18,32.2,2
Ampara,2017,4,April,13,32.9,1
Ampara,2017,4,April,14,33.4,7
Ampara,2017,4,April,15,35.6,7
Ampara,2017,4,April,16,35.8,7
Ampara,2017,4,April,17,35.0,7
Ampara,2017,4,April,18,32.8,1
Ampara,2018,4,April,13,31.8,1
Ampara,2018,4,April,14,31.4,7
Ampara,2018,4,April,15,30.7,7
Ampara,2018,4,April,16,32.6,7
Ampara,2018,4,April,17,32.2,7
Ampara,2018,4,April,18,32.7,1
Ampara,2019,5,May,18,36.6,6
Ampara,2019,5,May,19,37.4,7
Ampara,2019,5,May,20,37.0,7
Ampara,2019,5,May,21,36.3,7
Ampara,2019,5,May,22,37.4,4
Ampara,2020,3,March,9,31.4,3
Ampara,2020,3,March,10,32.4,7
Ampara,2020,3,March,11,32.2,7
Ampara,2020,3,March,12,32.7,7
Ampara,2020,3,March,13,32.8,7
Ampara,2021,4,April,13,35.0,1
Ampara,2021,4,April,14,35.0,7
Ampara,2021,4,April,15,32.5,7
Ampara,2021,4,April,16,32.8,7
Ampara,2021,4,April,17,33.7,7
Ampara,2021,4,April,18,31.5,1
Ampara,2022,3,March,9,29.8,4
Ampara,2022,3,March,10,31.9,7
Ampara,2022,3,March,11,31.3,7
Ampara,2022,3,March,12,33.7,7
Ampara,2022,3,March,13,33.0,6
Ampara,2023,8,August,31,38.7,5
Ampara,2023,8,August,32,38.3,7
Ampara,2023,8,August,33,38.3,7
Ampara,2023,8,August,34,37.8,7
Ampara,2023,8,August,35,37.7,5
Ampara,2024,4,April,14,34.7,7
Ampara,2024,4,April,15,34.4,7
Ampara,2024,4,April,16,34.7,7
Ampara,2024,4,April,17,35.1,7
Ampara,2024,4,April,18,34.1,2
Anuradhapura,2010,3,March,9,34.6,4
Anuradhapura,2010,3,March,10,35.5,7
Anuradhapura,2010,3,March,11,36.0,7
Anuradhapura,2010,3,March,12,36.2,7
Anuradhapura,2010,3,March,13,33.1,6
Anuradhapura,2011,6,June,22,30.6,3
Anuradhapura,2011,6,June,23,32.3,7
Anuradhapura,2011,6,June,24,32.0,7
Anuradhapura,2011,6,June,25,33.9,7
Anuradhapura,2011,6,June,26,34.3,6
Anuradhapura,2012,5,May,18,32.2,5
Anuradhapura,2012,5,May,19,34.9,7
Anuradhapura,2012,5,May,20,34.9,7
Anuradhapura,2012,5,May,21,34.0,7
Anuradhapura,2012,5,May,22,33.8,5
Anuradhapura,2013,4,April,13,33.3,1
Anuradhapura,2013,4,April,14,34.9,7
Anuradhapura,2013,4,April,15,35.0,7
Anuradhapura,2013,4,April,16,35.2,7
Anuradhapura,2013,4,April,17,33.3,7
Anuradhapura,2013,4,April,18,33.4,1
Anuradhapura,2014,4,April,13,35.6,1
Anuradhapura,2014,4,April,14,35.9,7
Anuradhapura,2014,4,April,15,34.2,7
Anuradhapura,2014,4,April,16,34.7,7
Anuradhapura,2014,4,April,17,34.2,7
Anuradhapura,2014,4,April,18,32.1,1
Anuradhapura,2015,7,July,26,30.7,1
Anuradhapura,2015,7,July,27,32.2,7
Anuradhapura,2015,7,July,28,33.8,7
Anuradhapura,2015,7,July,29,32.1,7
Anuradhapura,2015,7,July,30,32.7,7
Anuradhapura,2015,7,July,31,32.2,2
Anuradhapura,2016,4,April,14,35.5,7
Anuradhapura,2016,4,April,15,35.8,7
Anuradhapura,2016,4,April,16,34.8,7
Anuradhapura,2016,4,April,17,36.0,7
Anuradhapura,2016,4,April,18,36.1,2
Anuradhapura,2017,4,April,13,34.7,1
Anuradhapura,2017,4,April,14,36.2,7
