year,month,hottest_month_name,week_of_year,overall_weekly_max_temperature_C,districts_count,total_days
2010,3,March,9,35.8,27,108
2010,3,March,10,36.7,27,189
2010,3,March,11,37.0,27,189
2010,3,March,12,37.2,27,189
2010,3,March,13,35.8,27,162
2011,6,June,22,34.3,27,81
2011,6,June,23,35.1,27,189
2011,6,June,24,35.2,27,189
2011,6,June,25,36.4,27,189
2011,6,June,26,37.0,27,162
2012,5,May,18,34.5,27,135
2012,5,May,19,37.1,27,189
2012,5,May,20,37.4,27,189
2012,5,May,21,36.6,27,189
2012,5,May,22,36.4,27,135
2013,4,April,13,33.9,27,27
2013,4,April,14,36.5,27,189
2013,4,April,15,36.0,27,189
2013,4,April,16,36.2,27,189
2013,4,April,17,34.8,27,189
2013,4,April,18,34.2,27,27
2014,4,April,13,36.9,27,27
2014,4,April,14,37.2,27,189
2014,4,April,15,35.2,27,189
2014,4,April,16,35.6,27,189
2014,4,April,17,35.1,27,189
2014,4,April,18,32.2,27,27
2015,7,July,26,34.3,27,27
2015,7,July,27,35.5,27,189
2015,7,July,28,36.0,27,189
2015,7,July,29,35.6,27,189
2015,7,July,30,36.4,27,189
2015,7,July,31,35.5,27,54
2016,4,April,14,36.0,27,189
2016,4,April,15,36.4,27,189
2016,4,April,16,36.1,27,189
2016,4,April,17,38.0,27,189
2016,4,April,18,36.7,27,54
2017,4,April,13,35.3,27,27
2017,4,April,14,37.0,27,189
2017,4,April,15,37.1,27,189
2017,4,April,16,38.8,27,189
2017,4,April,17,39.3,27,189
2017,4,April,18,38.1,27,27
2018,4,April,13,35.9,27,27
2018,4,April,14,36.4,27,189
2018,4,April,15,33.9,27,189
2018,4,April,16,36.4,27,189
2018,4,April,17,37.9,27,189
2018,4,April,18,37.5,27,27
2019,5,May,18,38.1,27,162
2019,5,May,19,38.8,27,189
2019,5,May,20,38.3,27,189
2019,5,May,21,37.2,27,189
2019,5,May,22,38.3,27,108
2020,3,March,9,36.7,27,81
2020,3,March,10,36.6,27,189
2020,3,March,11,37.0,27,189
2020,3,March,12,36.7,27,189
2020,3,March,13,35.8,27,189
2021,4,April,13,36.6,27,27
2021,4,April,14,37.8,27,189
2021,4,April,15,33.8,27,189
2021,4,April,16,34.5,27,189
2021,4,April,17,34.9,27,189
2021,4,April,18,33.9,27,27
2022,3,March,9,34.9,27,108
2022,3,March,10,35.5,27,189
2022,3,March,11,34.1,27,189
2022,3,March,12,35.0,27,189
2022,3,March,13,35.2,27,162
2023,8,August,31,39.3,27,135
2023,8,August,32,39.5,27,189
2023,8,August,33,39.3,27,189
2023,8,August,34,39.4,27,189
2023,8,August,35,37.8,27,135
2024,4,April,14,39.4,27,189
2024,4,April,15,38.9,27,189
2024,4,April,16,39.0,27,189
2024,4,April,17,39.4,27,189
2024,4,April,18,38.4,27,54
