district,year,month,month_name,week_of_year,weekly_max_temp,days_in_week
Ampara,2010,7,July,26,32.7,1
Ampara,2010,7,July,27,33.6,7
Ampara,2010,7,July,28,33.4,7
Ampara,2010,7,July,29,34.2,7
Ampara,2010,7,July,30,35.1,7
Ampara,2010,7,July,31,34.5,2
Ampara,2011,6,June,22,32.6,3
Ampara,2011,6,June,23,33.7,7
Ampara,2011,6,June,24,34.7,7
Ampara,2011,6,June,25,35.2,7
Ampara,2011,6,June,26,35.1,6
Ampara,2012,6,June,22,36.4,2
Ampara,2012,6,June,23,35.9,7
Ampara,2012,6,June,24,36.9,7
Ampara,2012,6,June,25,35.6,7
Ampara,2012,6,June,26,35.2,7
Ampara,2013,8,August,31,35.2,5
Ampara,2013,8,August,32,34.7,7
Ampara,2013,8,August,33,34.0,7
Ampara,2013,8,August,34,34.6,7
Ampara,2013,8,August,35,33.1,5
Ampara,2014,7,July,26,34.1,1
Ampara,2014,7,July,27,35.1,7
Ampara,2014,7,July,28,35.4,7
Ampara,2014,7,July,29,35.8,7
Ampara,2014,7,July,30,36.8,7
Ampara,2014,7,July,31,36.1,2
Ampara,2015,7,July,26,32.7,1
Ampara,2015,7,July,27,34.9,7
Ampara,2015,7,July,28,34.9,7
Ampara,2015,7,July,29,35.1,7
Ampara,2015,7,July,30,34.2,7
Ampara,2015,7,July,31,33.9,2
Ampara,2016,9,September,35,32.1,1
Ampara,2016,9,September,36,34.9,7
Ampara,2016,9,September,37,35.3,7
Ampara,2016,9,September,38,34.8,7
Ampara,2016,9,September,39,35.1,7
Ampara,2016,9,September,40,34.5,1
Ampara,2017,7,July,26,38.4,1
Ampara,2017,7,July,27,38.4,7
Ampara,2017,7,July,28,38.4,7
Ampara,2017,7,July,29,39.5,7
Ampara,2017,7,July,30,38.5,7
Ampara,2017,7,July,31,37.1,2
Ampara,2018,8,August,31,37.8,5
Ampara,2018,8,August,32,38.1,7
Ampara,2018,8,August,33,36.8,7
Ampara,2018,8,August,34,37.9,7
Ampara,2018,8,August,35,38.3,5
Ampara,2019,6,June,22,37.6,3
Ampara,2019,6,June,23,36.6,7
Ampara,2019,6,June,24,38.4,7
Ampara,2019,6,June,25,38.9,7
Ampara,2019,6,June,26,39.1,6
Ampara,2020,8,August,31,36.6,4
Ampara,2020,8,August,32,36.9,7
Ampara,2020,8,August,33,38.3,7
Ampara,2020,8,August,34,38.0,7
Ampara,2020,8,August,35,37.4,6
Ampara,2021,7,July,26,35.5,1
Ampara,2021,7,July,27,35.8,7
Ampara,2021,7,July,28,36.4,7
Ampara,2021,7,July,29,36.5,7
Ampara,2021,7,July,30,37.4,7
Ampara,2021,7,July,31,36.6,2
Ampara,2022,7,July,26,36.6,1
Ampara,2022,7,July,27,36.2,7
Ampara,2022,7,July,28,37.2,7
Ampara,2022,7,July,29,36.3,7
Ampara,2022,7,July,30,35.1,7
Ampara,2022,7,July,31,32.0,2
Ampara,2023,8,August,31,38.7,5
Ampara,2023,8,August,32,38.3,7
Ampara,2023,8,August,33,38.3,7
Ampara,2023,8,August,34,37.8,7
Ampara,2023,8,August,35,37.7,5
Ampara,2024,5,May,18,37.0,5
Ampara,2024,5,May,19,36.6,7
Ampara,2024,5,May,20,33.7,7
Ampara,2024,5,May,21,34.0,7
Ampara,2024,5,May,22,35.7,5
Anuradhapura,2010,3,March,9,34.6,4
Anuradhapura,2010,3,March,10,35.5,7
Anuradhapura,2010,3,March,11,36.0,7
Anuradhapura,2010,3,March,12,36.2,7
Anuradhapura,2010,3,March,13,33.1,6
Anuradhapura,2011,9,September,35,31.9,2
Anuradhapura,2011,9,September,36,32.5,7
Anuradhapura,2011,9,September,37,31.2,7
Anuradhapura,2011,9,September,38,33.0,7
Anuradhapura,2011,9,September,39,34.3,7
Anuradhapura,2012,3,March,9,34.3,3
Anuradhapura,2012,3,March,10,34.4,7
Anuradhapura,2012,3,March,11,33.1,7
